"都道府県","市区町村","latitude","longitude","合計特殊出生率","財政力指数","平均所得","経常収支比率","実質公債費比率","将来負担比率","ラスパイレス指数"
"宮城県","大和町",38.437329,140.886306,1.38,1.06,2871200,91.6,0.8,"-",95.3
"宮城県","大郷町",38.42426,141.004445,1.2,0.47,2496030,90.9,8.8,"-",95.7
"宮城県","大衡村",38.467226,140.880087,1.33,0.79,2640686,96.8,5.8,"-",93.8
"宮城県","色麻町",38.54892,140.849878,1.33,0.3,2477570,85,10.7,101.8,95.5
"宮城県","加美町",38.571767,140.854751,1.19,0.35,2574823,91.2,8.1,41,95.3
"宮城県","涌谷町",38.539646,141.128075,1.18,0.4,2415229,89,9.2,40.1,94.4
"宮城県","美里町",38.544391,141.056695,1.14,0.43,2600635,89.6,7.5,26.5,94.4
"宮城県","女川町",38.449733,141.443088,1.54,1.04,3220055,87,3.4,"-",93.1
"宮城県","南三陸町",38.679771,141.460514,1.46,0.32,2633964,97.2,8.1,"-",90.4
"秋田県","秋田市",39.720008,140.102564,1.21,0.67,2971042,91.5,9.1,77.6,98
"秋田県","能代市",40.212151,140.026624,1.31,0.45,2594054,94.1,7.4,33,96.4
"秋田県","横手市",39.313782,140.566649,1.25,0.33,2626327,92.1,7,14.6,97.2
