"都道府県名","市町村名","平均所得"
"山形県","山形市",3136510
"大阪府","守口市",3136278
"兵庫県","播磨町",3136026
"沖縄県","南大東村",3134861
"佐賀県","佐賀市",3132511
"愛知県","田原市",313770
"山口県","宇部市",3129934
"岐阜県","北方町",3129579
"岡山県","倉敷市",3127985
"埼玉県","春日部市",3127602
"大阪府","寝屋川市",3127153
"三重県","亀山市",3126982
"静岡県","小山町",3126849
"大阪府","岸和田市",3126798
"東京都","瑞穂町",3125226
"広島県","海田町",3125122
"福島県","広野町",3119684
"福岡県","久山町",3118499
"栃木県","壬生町",3118337
"福島県","いわき市",3116810
"北海道","大樹町",3116703
"福井県","高浜町",3116350
"福岡県","小郡市",3115730
"茨城県","龍ケ崎市",3114562
"愛媛県","松山市",3114529
"広島県","呉市",3112263
"大分県","大分市",3111687
"東京都","御蔵島村",3111411
"北海道","中川町",3111068
"福島県","福島市",311592
"広島県","廿日市市",311583
"群馬県","館林市",311307
"千葉県","君津市",3106613
"北海道","利尻町",3106039
"山梨県","甲斐市",3105995
"静岡県","掛川市",3105458
"岐阜県","可児市",3104723
"茨城県","美浦村",3101549
"北海道","足寄町",3101189
"大阪府","田尻町",3097732
"福島県","浪江町",3097235
"千葉県","大網白里市",3096306
"山口県","山口市",3096002
"福岡県","志免町",3095953
"奈良県","上牧町",3095889
"山梨県","中央市",3095670
"埼玉県","杉戸町",3095568
"京都府","久御山町",3095168
"東京都","福生市",3094316
"茨城県","阿見町",3094185
"北海道","初山別村",3093503
"大阪府","河南町",3088608
"北海道","留寿都村",3088596
"北海道","浦幌町",3088492
"千葉県","芝山町",3087981
"福岡県","宗像市",3087765
"栃木県","さくら市",3084459
"神奈川県","大井町",3082933
"福岡県","那珂川市",3082529
"静岡県","袋井市",3082184
"福岡県","福津市",3081741
"東京都","神津島村",3079280
"千葉県","野田市",3079198
"福島県","郡山市",3077530
"山梨県","富士吉田市",3076904
"北海道","陸別町",3076492
"愛媛県","東温市",3074522
"北海道","福島町",3072848
"静岡県","磐田市",307333
"愛媛県","新居浜市",3069654
"山口県","光市",3069421
"広島県","福山市",3069032
"北海道","松前町",3067512
"北海道","音更町",3063617
"北海道","羅臼町",3062594
"大阪府","松原市",3061549
"神奈川県","松田町",306808
"奈良県","大和郡山市",306686
"北海道","苫前町",306537
"北海道","弟子屈町",30680
"奈良県","田原本町",3059191
"大阪府","大東市",3058603
"岡山県","早島町",3057507
"埼玉県","深谷市",3056963
"北海道","紋別市",3051518
"神奈川県","南足柄市",3051449
"神奈川県","三浦市",305977
"三重県","松阪市",305636
"北海道","ニセコ町",305549
"滋賀県","米原市",305186
"北海道","網走市",3048958
"埼玉県","日高市",3048767
"鹿児島県","鹿児島市",3048604
"北海道","中標津町",3048007
